facility_id,measure_code,measure_desc,recommend,ans_percent,rating,ed_score,sep_score,op_score,op18_score,label
271331,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,46,3,83.0,125.0,22.0,80.0,0
450346,OP_22,Left before being seen,H_RECMND_DN,3,2,72.0,125.0,5.0,80.0,1
390073,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,55,3,72.0,125.0,22.0,174.0,0
191326,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,31,3,72.0,83.0,22.0,80.0,0
390256,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,3,4,72.0,125.0,22.0,234.0,1
670082,OP_22,Left before being seen,H_RECMND_DY,77,4,72.0,125.0,1.0,80.0,0
140067,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,4,1,72.0,125.0,22.0,247.0,1
330078,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,70,2,72.0,57.0,22.0,80.0,0
283301,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,31,3,72.0,125.0,22.0,83.0,0
330074,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,5,3,72.0,125.0,22.0,189.0,1
61325,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,2,3,6.0,125.0,22.0,80.0,1
50454,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,87,4,72.0,125.0,22.0,232.0,0
250084,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,62,2,72.0,70.0,22.0,80.0,0
241303,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,31,3,72.0,125.0,22.0,108.0,0
351306,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,31,3,41.0,125.0,22.0,80.0,0
330240,OP_22,Left before being seen,H_RECMND_DN,13,1,72.0,125.0,4.0,80.0,1
390063,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,4,4,72.0,51.0,22.0,80.0,1
40072,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,78,5,72.0,125.0,22.0,87.0,0
240004,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,9,2,72.0,125.0,22.0,182.0,1
161372,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,78,4,83.0,125.0,22.0,80.0,0
450163,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,10,2,72.0,125.0,22.0,162.0,1
141331,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,75,2,72.0,83.0,22.0,80.0,0
520087,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,87,4,72.0,29.0,22.0,80.0,0
313300,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,31,3,72.0,83.0,22.0,80.0,1
400102,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,48,3,72.0,125.0,22.0,362.0,0
161307,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DY,82,4,72.0,125.0,22.0,91.0,0
51316,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,67,2,102.0,125.0,22.0,80.0,0
50396,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,86,5,72.0,58.0,22.0,80.0,0
371321,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DY,73,4,41.0,125.0,22.0,80.0,0
50424,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,84,5,72.0,81.0,22.0,80.0,0
230037,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,60,3,72.0,57.0,22.0,80.0,0
10091,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,H_RECMND_DN,16,2,72.0,125.0,22.0,154.0,1
371330,OP_22,Left before being seen,H_RECMND_DY,31,3,72.0,125.0,83.0,80.0,0
370022,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,5,2,72.0,65.0,22.0,80.0,1
140119,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DN,3,5,72.0,31.0,22.0,80.0,1
453313,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,31,3,83.0,125.0,22.0,80.0,1
390236,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",H_RECMND_DN,3,4,62.0,125.0,22.0,80.0,1
440185,OP_22,Left before being seen,H_RECMND_DN,8,2,72.0,125.0,2.0,80.0,1
30065,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,69,2,72.0,33.0,22.0,80.0,0
390008,SEP_1,Appropriate care for severe sepsis and septic shock,H_RECMND_DY,31,3,72.0,83.0,22.0,80.0,0
